x1,x2,x3,x4,x5,y,t
-1.085630603,0.997345447,0.282978498,-1.506294714,-0.578600252,-1.766505114,0
1.651436537,-2.426679243,-0.428912629,1.265936259,-0.866740402,0.332619447,1
-0.678886152,-0.094708969,1.491389626,-0.638901997,-0.44398196,-0.70878197,0
-0.434351276,2.205930083,2.186786089,1.004053898,0.386186399,1.338970339,1
0.737368576,1.490732028,-0.935833868,1.175829045,-1.253880668,2.81683605,1
-0.637751502,0.907105196,-1.4286807,-0.14006872,-0.861754896,1.548121598,0
-0.255619371,-2.798589105,-1.771533105,-0.699877235,0.927462432,-2.868522098,1
-0.173635683,0.002845916,0.688222711,-0.879536343,0.283627324,-1.923012785,0
-0.805366518,-1.727669494,-0.390899794,0.573805862,0.338589051,-0.944682131,0
-0.011830494,2.392365266,0.41291216,0.978736006,2.238143338,1.777003348,1
-1.294085323,-1.03878821,1.743712225,-0.798062735,0.02968323,-3.266995467,0
1.069315969,0.890706391,1.754886182,1.495644137,1.06939267,-0.01074535,0
-0.772708714,0.794862668,0.314271995,-1.32626546,1.417299046,0.734658022,0
0.807236535,0.045490081,-0.233092061,-1.198301145,0.199524074,-0.813865763,1
0.468439119,-0.831154984,1.162204049,-1.097203046,-2.12310035,-1.375246206,0
1.039727091,-0.403366038,-0.126029585,-0.837516723,-1.605962761,-1.056854452,1
1.255237375,-0.688868984,1.660952488,0.807308186,-0.314758147,0.106632899,1
-1.085902401,-0.732461987,-1.212523131,2.08711336,0.16444123,0.30013857,0
1.150205543,-1.267352049,0.18103513,1.177861939,-0.335010762,-0.555605837,0
1.031114459,-1.084567912,-1.363471545,0.379400612,-0.379176435,-0.58603657,1
0.642054689,-1.977887932,0.712264635,2.598303927,-0.024625981,0.087394438,1
0.034142129,0.179549485,-1.861975711,0.42614664,-1.605409744,0.05772084,0
-0.427679598,1.24286955,-0.735216956,0.50124899,1.012739054,0.653354378,0
0.278740856,-1.37094847,-0.332475275,1.959411342,-2.025045763,-0.265873348,1
-0.275786014,-0.552108071,0.120747363,0.748215617,1.608690968,-0.990116521,1
-0.270232392,0.81234133,0.499740145,0.474347298,-0.563923932,0.1708155,1
-0.997321469,-1.100043113,-0.756437209,0.321686576,0.760949393,0.279255005,0
0.323468848,-0.548955096,1.80597011,1.518865624,-0.354000113,0.098360395,0
-0.823431406,0.130214954,1.267298645,0.332764977,0.556548705,1.645576208,1
-0.212080122,0.456270895,1.544544451,-0.239668781,0.143307733,-0.366321154,1
0.253816477,0.283725356,-1.411888876,-1.876868656,-1.019655071,-1.242463437,0
0.167942295,0.553856166,-0.53067456,1.377257483,-0.143175974,2.352215681,1
0.020315998,-0.193963871,0.134026793,0.704474074,0.665653438,-0.42325085,0
-0.898422941,1.523663776,-1.095026457,0.079227014,-0.274396574,-0.166473979,0
-1.048991677,-0.075120588,-0.740813773,0.072907243,0.403085961,1.035071458,0
1.471929369,0.307384219,-0.61122534,-0.391619811,0.139978106,-1.312390215,1
0.093460829,1.459589268,1.39535293,-0.358935926,-0.548642128,-0.508574833,1
-2.557054604,-0.548920413,-0.978057706,-0.354824458,0.391584242,1.270387213,0
0.177192329,-0.029968007,0.199582111,-0.126117773,0.197018933,-0.408477143,1
-3.231055008,-0.26929349,-0.110850721,-0.341261716,-0.217946262,-0.452553836,0
0.703310118,-0.598105331,2.200702099,0.68829693,-0.006307251,0.725409817,0
-0.206662303,-0.086522286,-0.91530707,-0.095202539,0.278683517,-1.410813634,1
0.579541616,0.579689779,-0.274877547,-1.416082253,-0.669102626,-1.725883586,1
1.612193043,0.896058313,0.369619586,-0.761294245,0.003645155,-1.222174524,1
-1.255668686,-0.551936876,-0.245203342,-0.361639932,0.956601931,-0.918867435,0
-1.418725914,-0.865432272,-1.374687971,-1.237353213,0.124055896,-0.975266337,0
-1.600440533,0.753868779,-0.246815777,0.068788333,0.322576738,0.72186484,0
-0.43416652,1.032479716,-0.194342727,0.594070255,-0.199112383,0.519372914,0
0.290874387,0.27966267,0.249969939,-0.97430785,0.435875771,-0.079953786,0
-0.318956989,0.63048803,-2.152493444,-1.465116222,0.363445562,-1.087299951,0
1.862927585,0.835058747,-0.682450934,-1.692052415,0.742686221,-1.340845311,1
-0.080583222,0.590704218,0.115298722,0.029642925,2.958625446,-0.912253154,1
-0.006129961,-0.159245209,-0.121448675,-0.583536717,0.990132895,-0.934268631,0
-0.353754334,0.635942706,0.28460303,1.218985862,0.420179597,0.107013346,1
-1.213384781,-1.326487785,1.408369146,-0.608710803,-1.32060258,-1.411129266,0
-0.6696186,1.264625287,-1.420212999,-0.866495204,-0.666807509,0.714654569,1
-1.251189873,-1.184327339,-1.518107975,-0.461187413,-0.354908832,-1.10328278,0
-0.682538154,-1.653697839,1.253335947,-1.329078829,0.278033712,-1.346431485,0
-1.074766593,0.668316867,0.955832355,-0.877613587,-1.92371573,-1.127042656,0
0.695787319,1.875800547,0.41569454,0.160544421,0.81976061,1.771214451,1
0.765054846,-0.828988834,-0.659151311,0.61112355,-0.144013347,1.059646828,0
1.316605596,-0.704342147,0.750609917,0.342637981,-0.126437564,1.938153808,0
1.175910772,0.680071533,-1.004967153,0.64021868,1.374990631,0.772489166,1
-0.130444689,-0.24865585,-0.669647148,-0.013603886,0.686200686,0.088761402,1
-0.8176683,-1.346357561,-0.375749911,-1.379724979,0.523218441,-0.975090401,0
-0.42668977,-1.755401845,-0.348607515,-0.192614986,0.449135613,-2.222454954,1
-0.145363543,1.868726457,-0.518703852,-0.062398549,-0.102910614,2.319896985,1
-0.282628384,0.142425585,0.541231297,1.340098704,-1.569256127,0.714034203,1
-0.510342874,-0.447771425,0.937850297,-0.356663061,-1.895175593,-0.048002251,0
0.087730464,-0.033689232,0.179751566,-1.040162881,1.719034681,-1.963294941,0
-0.323859784,-0.188296858,-0.90000857,-0.931002004,-1.22273696,-2.579287475,1
-0.393310852,-0.957581839,2.056467341,-1.88849238,-1.128330548,-1.16517122,1
-0.401414428,0.673491278,-0.413756881,0.675963393,-0.986803889,0.02419966,0
0.059291134,1.744041087,-0.967744396,0.419567676,0.206927519,-0.163852991,1
-2.251534986,-0.588970546,1.131151905,0.135077672,-1.212268963,0.923334822,0
0.690777273,-0.479122945,0.360050728,0.376920114,-1.118695601,0.285749865,0
0.789828035,-1.007508801,-1.305785866,-0.882828988,-0.346090034,-0.472339617,0
0.109403156,-0.772583732,0.744819312,0.251464184,-0.694798215,-0.352323143,1
0.888992918,1.161068358,-0.098684697,-0.214983045,-1.773771353,1.091573214,1
-0.407512592,-0.291506713,0.245379407,-0.168426432,0.244026938,0.716672825,1
1.534090289,-0.529914099,-0.490972283,-1.309165314,-0.008660467,0.715202724,1
0.976812982,-1.751070349,-0.665856967,0.035940503,0.850102884,0.54275451,1
0.382870239,0.325463628,-0.224312786,0.481874257,1.014303884,-1.357195077,1
-1.708991777,0.728535401,-0.098759806,-0.529988864,-2.443075786,-0.162393794,0
-1.380351324,1.698058992,-0.688548532,-1.084768771,-0.456425956,1.045811382,1
-0.745147222,0.124358633,1.516973678,-0.586615951,0.154290051,0.451145058,1
-1.147237141,1.520166442,0.189043442,-1.081819123,0.90430622,0.150547497,0
1.199987649,0.161456363,-1.639396968,1.785168814,0.310122521,0.395029686,1
1.170454297,-0.550893205,-0.398623925,0.110453109,1.113401678,0.069307003,1
0.142990028,-1.256833813,0.261989197,1.629534195,0.065806282,2.19203568,0
0.129385524,-1.262543743,-1.402989088,-0.637692139,-0.326517647,-2.001879264,0
0.104060735,0.165956974,1.601907651,0.058687438,1.064422688,0.721785919,0
-0.039329335,1.448903612,-1.870397479,-0.598731767,0.983033396,0.700378805,1
-0.171596005,0.931529613,0.385066103,0.945876984,0.613067728,1.080656246,0
0.673648934,1.492455387,0.986474019,0.993806707,0.020418759,1.39648678,1
-0.58185021,-0.659560088,0.750944597,-2.438460564,-1.307178188,-2.34638915,0
-0.963253686,-0.247621379,-2.631438037,1.258721303,0.600175236,0.697680431,0
1.984582398,1.062214469,1.030379331,2.250676031,-0.570958087,3.281260938,1
-1.503458399,-0.232357396,-0.824992054,-0.256845361,-1.05021899,-1.132732461,0
0.567880067,0.51298285,-0.026922591,0.311581503,-0.142050727,2.23224413,0
0.752033668,0.069640749,-0.265445625,0.92958447,1.260821269,-1.875803601,1
1.337453826,-0.990274689,-0.534447208,-1.701496095,-0.238565018,-1.327764719,0
0.416123814,-0.132801175,1.930850867,-0.405843375,-1.088508555,-0.70125306,1
0.568504207,0.149933828,0.549642596,0.303787931,0.243765761,0.724657009,1
-2.122298883,-0.726114028,-0.590324918,-0.347964338,-0.448391638,-0.369402237,1
0.412818762,0.600882509,-1.131640927,0.686804407,0.585768139,-0.404359512,0
0.465770066,-1.417894488,0.4405823,0.08259542,0.960880075,-1.276348904,1
1.784356795,1.588067886,0.112644172,-0.001874692,0.631948284,1.955836345,1
-1.115039953,-1.450683142,-0.472530592,1.220568914,-0.331128298,0.783289998,0
1.502580906,-2.788112883,-1.587206427,-0.123688733,0.888194541,-1.294241462,1
-0.069623099,-0.095652744,-0.121741495,-1.762897734,1.158068874,-0.176123583,1
-0.68276472,1.089532657,-0.070523418,1.068160387,0.343257981,2.520843405,1
-0.106674491,0.226261647,-1.472977609,0.006029327,1.716040322,-1.032703027,0
1.308193564,-0.985023583,0.505685851,0.247979885,0.81718828,-1.40899718,1
0.094152886,-0.233503993,1.330630776,0.216396568,1.255464322,-1.794172112,0
0.974386203,-0.324487242,-0.167000274,1.929832434,0.191482325,2.757856329,1
-0.758628423,-1.200043278,0.974132435,0.160293721,-0.792091951,-0.118895916,0
0.674584831,0.159748695,-1.660475071,0.588685555,1.333190703,-0.485169494,0
2.559850231,0.034902564,0.232649658,1.606596805,0.168722267,-0.838812698,1
0.275341863,-0.630618391,-1.394375113,0.912687936,-1.273570237,-0.996919119,1
1.140656243,-0.788165559,0.265233958,-0.372271731,1.174600238,-0.069855446,1
0.300846402,1.959095353,-1.083677679,0.413863082,0.047341881,3.389325427,1
0.279943571,1.595921172,0.58531803,-1.147525409,0.533510818,-0.76528161,0
-0.415619376,-0.47335497,1.045857328,-0.602339983,-0.379730328,0.587385357,0
0.032407254,0.946185897,0.581589803,-0.234414912,-0.272176466,-1.190606763,0
-1.160129662,-0.759835089,-0.654381086,-0.149290942,1.986763037,-0.748263544,0
-0.675469434,-0.295829068,-2.052398405,0.600571094,-1.577448794,0.062292268,0
-0.906589522,1.042335368,-2.10492843,0.095920412,0.800929647,0.315070442,1
1.525444236,-0.920093108,-0.62402485,1.804436323,-0.025060145,1.152341068,0
-0.736263934,-0.717485837,-0.972556324,-0.439672205,1.088220476,0.202221617,0
0.887766069,-1.174270303,0.214586075,-0.402159735,0.782440404,-1.93281534,1
-0.156359727,0.371524682,-0.158605207,-2.187085931,0.047002445,-3.174563109,0
-1.27174695,0.747128412,-0.679827892,-0.605012656,-0.008902825,-0.238217869,0
0.577793954,-0.169743818,1.642182772,1.648817861,1.715468592,0.914515234,1
-0.234318725,-1.481958456,1.220078514,-0.416345285,0.038166312,-0.684107297,0
0.628320103,-1.604436401,1.629121205,0.874962329,0.352271582,1.325802834,0
0.89091675,0.556952539,0.116828116,-0.307774322,-0.739142274,-0.421816484,1
0.287214281,0.36120306,1.083198803,0.200660009,-0.853201516,1.537812976,1
-1.576232847,-0.127562162,-0.027458377,-0.098091583,-1.530512897,0.561772011,0
1.074465141,1.072629746,-0.823285165,0.805982112,0.952830862,0.554555523,1
0.038447077,-0.948498626,1.613381535,0.380921434,-0.251037455,1.713649321,0
0.772845396,1.622208488,-0.497160147,0.691422545,1.943160171,1.180461555,1
-1.116564834,-0.549253589,-0.597855081,-0.158327137,-0.209973736,0.139306326,0
0.300795439,-0.82037552,-0.622663489,0.301290484,0.15491186,0.962813755,1
0.874079809,0.409355025,0.771846636,-1.14295204,-0.383416311,-0.793373902,1
1.848379951,0.392078047,0.747392962,0.272734737,0.425335857,1.532472105,1
-0.230904052,3.571579218,-0.396155922,-0.038321218,-2.424836325,1.004570297,0
1.106266658,-0.55225295,-0.060794106,-0.528040551,-0.138682945,1.350568321,1
-0.284247098,-0.043041776,-0.052801483,-0.154205311,-0.167877227,0.884181513,1
